,Corr,P
C1QTNF6,-0.500070187385188,4.66361794254397e-33
C1QTNF7,-0.547831313274502,1.39811427046914e-40
C1R,-0.48329565627431,1.09871305308142e-30
C1RL,-0.489956531068068,1.30202465925187e-31
C1S,-0.479493505084144,3.63552527577613e-30
C21orf91,-0.411876107014771,6.17278846896013e-22
C3orf80,-0.499498846598051,5.64543103742858e-33
C4B,-0.430535741188095,5.0204959837679e-24
C5orf67,-0.466775640556701,1.78766677308455e-28
C7,-0.406628731706654,2.26438033700447e-21
C8orf58,-0.401528142683101,7.83652505699038e-21
C9orf72,-0.511021906990923,1.11576922222152e-34
CA5B,-0.465446018140947,2.66128023802075e-28
CACHD1,-0.501188094867283,3.20567135844699e-33
CACNA1C,-0.586518830142036,1.25760408653083e-47
CACNB1,-0.456375253140856,3.83668398544517e-27
CAD,-0.40145668732933,7.97280271033366e-21
CALHM2,-0.519566443335989,5.51185798595336e-36
CALHM5,-0.458789895152113,1.9004077613041e-27
CAMK2N1,-0.418314267476634,1.21384854353229e-22
CAPN12,-0.44499844689388,9.75404819414435e-26
CAPN3,-0.495645519248082,2.02878414034768e-32
CAPN5,-0.400714417994086,9.5341715245677e-21
CAPN6,-0.421810116982564,4.94543018520532e-23
CARD10,-0.523174216323705,1.50844082132198e-36
CASP10,-0.473563428506947,2.2814427956825e-29
CASP4,-0.40113109411203,8.62393637405183e-21
CASP7,-0.412751015854161,4.95897414943434e-22
CASP8,-0.448376356345677,3.77974666983851e-26
CASTOR3,-0.420246418745741,7.3994320117978e-23
CAV1,-0.457973781825684,2.41124609962869e-27
CAVIN1,-0.580259842447633,2.01261249767226e-46
CAVIN3,-0.53374543982268,3.09096845991156e-38
CBARP,-0.416937897301687,1.72364935274905e-22
CBFB,-0.429985097880035,5.81164208337178e-24
CBLN3,-0.416510270229655,1.9214074731775e-22
CCDC120,-0.505570138765568,7.27645835275827e-34
CCDC14,-0.473752636036471,2.15278030831078e-29
CCDC142,-0.40451123482767,3.8011593511445e-21
CCDC148,-0.404861017580842,3.49032166770342e-21
CCDC188,-0.483726007900804,9.58632051822367e-31
CCDC50,-0.481608026724256,1.87221454074457e-30
CCDC80,-0.599755031493747,2.9162211524497e-50
CCDC88A,-0.418274038725817,1.22638116473519e-22
CCDC88C,-0.519832003000427,5.01306610682495e-36
CCL26,-0.425186136917257,2.05710285844746e-23
CCN1,-0.414213453613674,3.43416057819385e-22
CCN2,-0.54885251851307,9.35868890628763e-41
CCN4,-0.503035475456037,1.7201198668335e-33
CCN5,-0.415580612473293,2.43183775936434e-22
CCND1,-0.435883766837809,1.19510981724328e-24
CCNL1,-0.547748410483041,1.44433695730507e-40
CCNL2,-0.401548610369653,7.79791458839962e-21
CCNT2,-0.437575307447396,7.54972685329507e-25
CD109,-0.539470679752631,3.55205800929545e-39
CD151,-0.402850288105231,5.69185942274298e-21
CD200,-0.530478865220809,1.04279134039412e-37
CD248,-0.489288828439696,1.615810063367e-31
CD276,-0.519572306284754,5.50033231731959e-36
CD40,-0.440067742827817,3.81907674830302e-25
CD93,-0.499147265663164,6.34860671664184e-33
CDC25B,-0.496080994683363,1.75714006999079e-32
CDC42EP1,-0.477259469169619,7.29280287569637e-30
CDC42EP5,-0.456185648964155,4.05332233089106e-27
CDC42SE1,-0.46336941688688,4.93700885947354e-28
CDH11,-0.550328724716394,5.22579600766698e-41
CDH23,-0.466560614562442,1.90670611680539e-28
CDH24,-0.523168760706124,1.51141731241119e-36
CDH3,-0.454141541803782,7.3121372932632e-27
CDH6,-0.523659285382395,1.2657482299692e-36
CDK11A,-0.406073865780863,2.59450826710508e-21
CDK17,-0.494743806805416,2.73035973930052e-32
CDK2AP1,-0.4373762014424,7.9702009064432e-25
CDK3,-0.418631487298125,1.11935251588755e-22
CDK9,-0.417776708681019,1.39227421742646e-22
CDKN1C,-0.468088850664045,1.20467563463078e-28
CDKN2B,-0.462839080654155,5.77708318939091e-28
CDO1,-0.437641540557827,7.41477203527414e-25
CDR2L,-0.602295707318878,8.80923560123566e-51
CDRT4,-0.412037023190118,5.92943354588854e-22
CELA2B,-0.404920731059229,3.43982178455217e-21
CELF2,-0.426317714846163,1.52969482645076e-23
CELSR3,-0.475995928344271,1.07870771346014e-29
CEMIP,-0.464036734588185,4.04969489930704e-28
CEMIP2,-0.520217704789854,4.3672416513506e-36
CEP112,-0.447705898566883,4.56614086106284e-26
CEP135,-0.458831217895483,1.87760457066717e-27
CEP164,-0.43033844420772,5.29091722920542e-24
CEP85L,-0.476991718575607,7.92463805697931e-30
CFH,-0.54638665643752,2.46113436056457e-40
CFI,-0.540873240939896,2.07747049039677e-39
CFLAR,-0.543614067144786,7.23015817727633e-40
CGAS,-0.420758342984308,6.48648613219417e-23
CH25H,-0.407002243017716,2.06585394184643e-21
CHCHD10,0.472564211149811,3.09801923929413e-29
CHD1,-0.441567661960778,2.52732768823085e-25
CHD2,-0.449556532084697,2.70723625717665e-26
CHD3,-0.434380301714109,1.79376836071088e-24
CHIC2,-0.427664660354077,1.07357695439157e-23
CHKB-CPT1B,-0.406209587731945,2.50961935541954e-21
CHN1,-0.401926004917075,7.11869081021822e-21
CHN2,-0.424273507229744,2.61012281338982e-23
CHPF2,-0.452422703150505,1.1972053344517e-26
CHRD,-0.649196959762587,2.76639606378946e-61
CHRDL1,-0.489556466342883,1.48193261259366e-31
CHST11,-0.40492026912777,3.44020966235772e-21
CHST15,-0.472777078935326,2.90277868359525e-29
CHST2,-0.400676815004465,9.62083092082862e-21
CHSY1,-0.62472231303265,1.3997398788424e-55
CHSY3,-0.607947635104252,5.90917197772643e-52
CIC,-0.416426193583321,1.96284414226602e-22
CILP2,-0.485145731358748,6.10447734894236e-31
CKMT1A,0.445863440608499,7.65935163940857e-26
CKMT1B,0.464205839538821,3.85113200543741e-28
CLCF1,-0.562587913293332,3.69038694575554e-43
CLDN1,-0.449475373139659,2.77020153087756e-26
CLDN10,-0.414090931451564,3.54176311996967e-22
CLDN15,-0.41125945804673,7.2000239649405e-22
CLDN16,-0.422569979341052,4.06290143020364e-23
CLDND1,-0.451583928542186,1.52131102309897e-26
CLEC4A,-0.435851765413298,1.20550999445445e-24
CLIC5,-0.418688254238413,1.10322543500932e-22
CLIP2,-0.470343110941595,6.09368296948084e-29
CLIP3,-0.451957041471454,1.3676320317765e-26
CLK1,-0.540280599999913,2.6067393324956e-39
CLK2,-0.437466699031722,7.77629454646702e-25
CLK4,-0.428197590346382,9.32827023338441e-24
CLSTN1,-0.403684873281824,4.64808692156785e-21
CLU,-0.454347772065451,6.89082731975544e-27
CMIP,-0.52488037697943,8.12882454785781e-37
CMKLR1,-0.468779137610991,9.78289139720277e-29
CMTM3,-0.53100212983198,8.58991160239147e-38
CMTM6,-0.41838268995043,1.19282228564067e-22
CNEP1R1,-0.443191296484257,1.61275339132501e-25
CNN1,-0.501165373898067,3.23023339585019e-33
CNN2,-0.504544737598561,1.03146182941763e-33
CNN3,-0.477472356135679,6.8262280864602e-30
CNRIP1,-0.514044575136764,3.8877356323299e-35
CNTNAP1,-0.660134830541713,5.23244159542353e-64
CNTRL,-0.496946554984301,1.31963415075175e-32
CNTROB,-0.401916008750414,7.13590577745867e-21
COL10A1,-0.492236335651268,6.20706854561237e-32
COL12A1,-0.628663096543852,1.82801539125511e-56
COL15A1,-0.499368183491848,5.89726904414979e-33
COL16A1,-0.548987337674139,8.87473694444397e-41
COL18A1,-0.478147064839643,5.53406804304956e-30
COL1A1,-0.615891289606477,1.20754085242954e-53
COL1A2,-0.614410154963853,2.51532011692044e-53
COL24A1,-0.430816264120668,4.65935010682485e-24
COL27A1,-0.529210950006047,1.66584267730274e-37
COL3A1,-0.599740745637965,2.93582748454083e-50
COL4A1,-0.443194783100889,1.61119418488174e-25
COL4A2,-0.435124670185297,1.46744252848434e-24
COL5A1,-0.615833118812205,1.24294027427409e-53
COL5A2,-0.57821135699218,4.92331781187503e-46
COL5A3,-0.502345211478838,2.17155352880011e-33
COL6A1,-0.539099156234826,4.09262106046963e-39
COL6A2,-0.638363257945809,1.07324421826298e-58
COL6A3,-0.578140425322863,5.07762996738036e-46
COL7A1,-0.550630176160724,4.63788838382397e-41
COL8A1,-0.4397494472621,4.16765774073043e-25
COL8A2,-0.532923397527118,4.20277224811997e-38
COL9A2,-0.412836434585182,4.85392538839478e-22
COLEC12,-0.52677352047502,4.07673119708702e-37
COLGALT1,-0.490643607760735,1.04210497593344e-31
COLQ,-0.421374704520124,5.53379881194448e-23
COMP,-0.567492488252293,4.79829686872064e-44
COX5A,0.466370856001134,2.01824808827942e-28
COX7B,0.411305225058412,7.11831143837123e-22
CP,-0.436894777212294,9.08486046099681e-25
CPA3,-0.48190403478984,1.70548887757812e-30
CPEB2,-0.415700542167517,2.35913860055907e-22
CPED1,-0.410454001275596,8.79927425678595e-22
CPSF1,-0.417104956620486,1.65197168804136e-22
CPSF7,-0.445493431557913,8.49455265405754e-26
CPXM2,-0.500329905677373,4.27516669326326e-33
CRACR2A,-0.427279296029832,1.18822371497609e-23
CREB5,-0.503354415365808,1.54424161555625e-33
CREBZF,-0.417316811309836,1.5652914055664e-22
CRIM1,-0.412796856284526,4.90232334007998e-22
CRISPLD2,-0.648566952891454,3.93870871235838e-61
CRLF1,-0.429457169057626,6.68528779517542e-24
CRLF3,-0.457293366808644,2.9392171702062e-27
CRMP1,-0.577855527865726,5.7472751957624e-46
CROCC,-0.474498348960881,1.71193880809615e-29
CRTC1,-0.401127627016522,8.63114471867235e-21
CSF2,-0.419017508636943,1.01410930326191e-22
CSF2RB,-0.414040554671431,3.58696443033882e-22
CSGALNACT2,-0.55260548904313,2.1153063556584e-41
CSNK1E,-0.568055853830092,3.78761553830923e-44
CSRNP1,-0.468031187034964,1.22578044909919e-28
CSRNP2,-0.403034199273408,5.44362307804912e-21
CST6,-0.412560304114867,5.2016751959967e-22
CTF1,-0.441052736019012,2.91283045877623e-25
CTHRC1,-0.53799382665864,6.23137215434912e-39
CTSE,-0.421808040614576,4.94808384980209e-23
CTSK,-0.57011129010004,1.59186537288638e-44
CTTNBP2NL,-0.514535220223424,3.27295206805863e-35
CX3CL1,-0.435824566382369,1.21441967718772e-24
CXCL12,-0.409773827579824,1.04190023130235e-21
CXCL14,-0.611812274824645,9.02616091245365e-53
CXCL2,-0.561768336377934,5.17233206647469e-43
CXCL3,-0.477070706300596,7.73281300608424e-30
CXCL8,-0.485540015452695,5.38333831983703e-31
CYB5R3,-0.49192075428174,6.87965543830931e-32
CYC1,0.413402294261115,4.21139206573033e-22
CYP39A1,-0.409384978262559,1.14736322502801e-21
CYSLTR2,-0.550991590889751,4.01891121196663e-41
CYTH1,-0.416241863745856,2.05680071865459e-22
CYTH2,-0.431647431726875,3.73323703663215e-24
DAB2,-0.50869769355228,2.49198617497788e-34
DAB2IP,-0.511955457243868,8.0658094882106e-35
DACT3,-0.494104281735397,3.36873929255247e-32
DAPK1,-0.452204784193465,1.27417501332876e-26
DBNDD2,-0.522915451386621,1.65621813867571e-36
DCAF15,-0.471132296881993,4.7944267467811e-29
DCHS1,-0.560202195481216,9.8337838070546e-43
DCLK1,-0.429009626046344,7.52656064945525e-24
DCN,-0.570142080536109,1.57125555955221e-44
DCUN1D3,-0.512721085156741,6.17653678323631e-35
DDHD1,-0.420232501421213,7.42594571056844e-23
DDX17,-0.423502897479714,3.18954821422892e-23
DDX39B,-0.469733317482572,7.33102199935271e-29
DDX47,-0.502620377481831,1.9790248341156e-33
DDX5,-0.457915007552981,2.45288392171849e-27
DDX60L,-0.445264588691011,9.05550470092214e-26
DENND5A,-0.417077712385447,1.66345690362068e-22
DEPDC7,-0.478577347941947,4.83969584436922e-30
DEPP1,-0.449769986050061,2.54830571297253e-26
DGKA,-0.537099557418563,8.74598010915104e-39
DGKD,-0.481301118193966,2.06211216698705e-30
DGKH,-0.487904998100829,2.52392926143412e-31
DGKZ,-0.409886011828459,1.01329271982894e-21
DHH,-0.527415402274258,3.22301309069749e-37
DIP2A,-0.413875061306101,3.73949929057282e-22
DKK2,-0.50523773716425,8.14888932211368e-34
DKK3,-0.580239307954883,2.03080487971256e-46
DLC1,-0.548930108326776,9.0770619303109e-41
DLEC1,-0.423214578806996,3.4375385379621e-23
DLG4,-0.417671182338946,1.43022463995655e-22
DLGAP4,-0.475902526108457,1.11030671658236e-29
DLL1,-0.531518214242653,7.09236960356338e-38
DLX1,-0.461918251893224,7.58436713810607e-28
DLX5,-0.462767032196703,5.90161329126723e-28
DMD,-0.499845127424501,5.02836099804995e-33
DMTF1,-0.431909373873491,3.48097086435009e-24
DNAH1,-0.497594928755037,1.0643153914971e-32
DNM1,-0.457303733729117,2.93037340809242e-27
DNM3,-0.517790681381242,1.0371207720955e-35
DNMT3A,-0.434995566016023,1.51950301023245e-24
DNPH1,0.435862663323727,1.20195827203691e-24
DOC2B,-0.490675197340849,1.03147780485855e-31
DOCK4,-0.495861730437575,1.88908355628142e-32
DOCK6,-0.48656668220024,3.87752819977114e-31
DOCK9,-0.408024642515875,1.60606419693931e-21
DOK4,-0.410156490544616,9.4746666706475e-22
DOP1A,-0.412788192552165,4.9129810508911e-22
DOT1L,-0.443069463056106,1.66818331243311e-25
DPY19L1,-0.408679783834476,1.36616358904048e-21
DPYSL2,-0.42693869235419,1.29956464349101e-23
DPYSL3,-0.558301757697513,2.13466065336851e-42
DRAM1,-0.46873629335074,9.91024267129554e-29
DSE,-0.524279421985229,1.01105464615582e-36
DSEL,-0.427753894445016,1.04862811998473e-23
DST,-0.488366710668763,2.17546502987167e-31
DTX4,-0.405460463464931,3.01486151428721e-21
DUSP1,-0.423181116724342,3.46752508341059e-23
DUSP4,-0.478004643278939,5.78494147484124e-30
DUSP5,-0.414644927005042,3.08028650799023e-22
DUSP6,-0.524769541196123,8.46284579068089e-37
DUSP7,-0.539233368492748,3.8885334057138e-39
DZIP1,-0.545974206510445,2.89090152167003e-40
DZIP1L,-0.406738855470732,2.20396930586962e-21
EBF1,-0.542066267614646,1.31379088043517e-39
EBLN2,-0.437974264223451,6.77205160361524e-25
ECE1,-0.538303340722121,5.54019686664646e-39
ECM2,-0.611986345679156,8.28862198103686e-53
EDIL3,-0.449498149429516,2.75238641941816e-26
EDN1,-0.554068682915521,1.1785544190317e-41
EDNRA,-0.584776149432202,2.73816448475352e-47
EFCAB13,-0.405315097248094,3.12393367404428e-21
EFEMP2,-0.475971260535066,1.08696558767543e-29
EFHD1,-0.445976239820687,7.42127044284183e-26
EFNA1,-0.427496184133524,1.12228925655971e-23
EFNB1,-0.458548506998236,2.03918995857331e-27
EFNB2,-0.512377353014973,6.96332298750229e-35
EFS,-0.50454426857476,1.03162618159399e-33
EGFL8,-0.440904956774333,3.03382010001352e-25
EGFLAM,-0.418723948130261,1.09320270385549e-22
EGR3,-0.465449381038416,2.65860921769603e-28
EHBP1L1,-0.594264325963619,3.73764335077643e-49
EHD2,-0.580798083402318,1.58937233050744e-46
EHD3,-0.490139937760054,1.22694670738939e-31
EHD4,-0.404175147377997,4.12548264215346e-21
EIF4A1,-0.553988192961919,1.21718361116709e-41
ELF4,-0.403951617633348,4.35614431587148e-21
ELK3,-0.59770945459266,7.58621549373976e-50
ELK4,-0.435297133303788,1.40063718005994e-24
ELL,-0.466378876947325,2.01340527513572e-28
ELN,-0.604912785297115,2.53817164360911e-51
ELOVL6,-0.408800885789268,1.32586161665339e-21
EMILIN1,-0.602272517308846,8.90644847419286e-51
EML3,-0.524680357663606,8.74145918392762e-37
EMP1,-0.538171634474855,5.82449632028356e-39
EMP2,-0.435884809753574,1.19477237431242e-24
ENC1,-0.469199663341091,8.61573751992013e-29
EOGT,-0.509577383128203,1.83983742778197e-34
EPB41L2,-0.450074205834316,2.33761077730892e-26
EPHA2,-0.560420170521974,8.99442955463611e-43
EPHA3,-0.497233128804766,1.20006253543301e-32
EPHA4,-0.539613983210902,3.36302121264649e-39
EPHB4,-0.45246900775251,1.18145227195058e-26
EPN2,-0.497571015988876,1.07279804319867e-32
ERBB2,-0.406179799099777,2.52801318739853e-21
ERF,-0.476037044202763,1.06508136488394e-29
ERG,-0.443250361291113,1.58653991470175e-25
ERRFI1,-0.517037237076908,1.35463794253411e-35
ETS1,-0.56742901417625,4.92774551810682e-44
ETS2,-0.56525117142254,1.22407181489446e-43
ETV1,-0.442421526895778,1.99615072185738e-25
ETV6,-0.413039086555016,4.61340475293339e-22
EXT1,-0.421886370459167,4.84894285362719e-23
F2R,-0.54654328480626,2.31508032651671e-40
F2RL1,-0.448414176917097,3.73961377535902e-26
F2RL2,-0.509112778981229,2.15982700921242e-34
F3,-0.552596448196125,2.12294599459751e-41
F5,-0.454379532361893,6.82811243368321e-27
FA2H,0.439602738109353,4.33873358372807e-25
FAM102B,-0.502220174457314,2.26506020951777e-33
FAM107B,-0.480471366211531,2.67629070497333e-30
FAM110A,-0.428901729891638,7.74453433773345e-24
FAM111A,-0.425130059662959,2.08746354904651e-23
FAM114A1,-0.403099184432161,5.35848635666305e-21
FAM126A,-0.497527480776969,1.08841364015731e-32
FAM131A,-0.45456750362247,6.46832419759485e-27
FAM131B,-0.487424808406801,2.94496639450728e-31
FAM160A2,-0.500708297642551,3.76588309634662e-33
FAM180A,-0.516337826815701,1.73475978227571e-35
FAM20A,-0.425726117538793,1.78618007023894e-23
FAM214B,-0.519101618012172,6.50602988511567e-36
FAM219A,-0.42164045880565,5.16695808342657e-23
FAM43B,-0.508402814629785,2.75822016966158e-34
FAM76B,-0.414018022980238,3.60736508785431e-22
FAM78B,-0.42939915625911,6.78886356862026e-24
FAP,-0.532427006089603,5.05751706266958e-38
FAS,-0.429329166001255,6.91593462469899e-24
FBLIM1,-0.635743794208245,4.37643487608915e-58
FBLN1,-0.562521774432509,3.79243967686171e-43
FBLN2,-0.633989546587917,1.11334322249591e-57
FBLN5,-0.626700432459554,5.05669525810125e-56
FBN1,-0.599260282731463,3.67719956309289e-50
FBN3,-0.443201357875915,1.60825801292352e-25
FBRS,-0.40617581897275,2.53048087665345e-21
FBXL12,-0.428122147064,9.51585043100779e-24
FBXL19,-0.506154355923166,5.96148998651656e-34
FBXL7,-0.539278261717633,3.82254477388771e-39
FBXO17,-0.545549415427166,3.41131202269034e-40
FBXO41,-0.400833948864471,9.2637816407023e-21
FCER1A,-0.448477728894894,3.6731225319979e-26
FCHSD1,-0.458975418391514,1.80012910865271e-27
FER,-0.40000129157815,1.13167423651752e-20
FES,-0.420361053602237,7.18456751969257e-23
FEZ1,-0.532199850064426,5.50409409489941e-38
FGD5,-0.448157250033959,4.02076534291058e-26
FGD6,-0.424481386278532,2.47249293756479e-23
FGF1,-0.450951583515188,1.82166849425968e-26
FGF18,-0.535648027935109,1.51300352632185e-38
FGFR3,-0.407140018974365,1.99704413623268e-21
FH,0.416712291512239,1.82533847995929e-22
FHL3,-0.454021603738699,7.56876702983908e-27
FHOD1,-0.40273851908886,5.84813943061238e-21
FILIP1L,-0.593193240559669,6.11250617314253e-49
FKBP14,-0.458683104215204,1.96061429886983e-27
FKBP7,-0.61762521280165,5.0893000953516e-54
FLACC1,-0.455648681376901,4.73466076002517e-27
FLNA,-0.469448869116956,7.990233608782e-29
FLNC,-0.497076224898999,1.26413537998841e-32
FLRT2,-0.402234009017977,6.60786885119827e-21
FLRT3,-0.441161165566053,2.82710123018854e-25
FMNL1,-0.437422635218696,7.87011948076544e-25
FMNL2,-0.530732770433208,9.49193881508415e-38
FNBP4,-0.516515553615892,1.62917411431461e-35
FNDC1,-0.423391153057872,3.28349330163105e-23
FOS,-0.400010767499386,1.12910279216951e-20
FOSB,-0.430422804582898,5.17357388272992e-24
FOSL1,-0.463683948440523,4.49710382009937e-28
FOSL2,-0.476163594961207,1.02420048109737e-29
FOXC1,-0.425211764131265,2.043373604817e-23
FOXC2,-0.646801546401243,1.05533178916904e-60
FOXL1,-0.568321995309879,3.38664911041896e-44
FOXO3,-0.428471854697127,8.67660016430612e-24
FOXP1,-0.466281861175327,2.07275969855439e-28
FOXQ1,-0.466602445224577,1.88295007859491e-28
FOXS1,-0.40806797743828,1.58898672886569e-21
FRMD4A,-0.518180863714103,9.02913400665524e-36
FRMD6,-0.570605362031365,1.29127945936672e-44
FRMD8,-0.463301956893602,5.03676191471091e-28
FRS3,-0.40735254567597,1.8953101114839e-21
FRYL,-0.423570113544727,3.13432200544201e-23
FRZB,-0.424423770527453,2.50990411049143e-23
FSCN1,-0.44576561243738,7.87193466846098e-26
FST,-0.402550496450214,6.12063992135583e-21
FSTL1,-0.670306254511027,1.2066835686566e-66
FSTL3,-0.422892957298295,3.73667317945756e-23
FUS,-0.402838386042746,5.70830348796538e-21
FUT11,-0.510981235048787,1.13162938098588e-34
FUT4,-0.432045568439062,3.35653671139027e-24
FUT8,-0.455089894952602,5.56392730741688e-27
FXYD1,-0.458817652772985,1.88506024553759e-27
FXYD5,-0.422801496771456,3.82633493725037e-23
FZD10,-0.557071551207872,3.51617767039372e-42
FZD6,-0.456971441766451,3.22737128205287e-27
GAB1,-0.493029426003708,4.79065554796406e-32
GABBR1,-0.488027483014236,2.42643849132319e-31
GABRE,-0.454188386388916,7.21425727633968e-27
GALNT5,-0.486732728071437,3.67674242734083e-31
GALNT7,-0.414812731713819,2.95259956731992e-22
GAS1,-0.470786200598088,5.32649930118e-29
GAS7,-0.490933217994198,9.48598476485738e-32
GASK1B,-0.489184122758531,1.67138419750512e-31
GATA6,-0.498605409871854,7.60562527290821e-33
GDPD3,-0.417763954495493,1.39680767232966e-22
GEM,-0.638987663285194,7.66153022451986e-59
GGA3,-0.401184769319426,8.51309596633946e-21
GGT2,-0.407743342719806,1.7214051205732e-21
GGT5,-0.504236071947177,1.14542611635248e-33
GIGYF1,-0.415493827543827,2.4858194354837e-22
GJA1,-0.467031073361224,1.65577928894469e-28
GJC2,-0.456845019293892,3.34801839268404e-27
GLCE,-0.447511835274936,4.82253298523332e-26
GLI1,-0.481508107394192,1.93205722961915e-30
GLI2,-0.604609454383093,2.93369198379187e-51
GLIPR1,-0.529135708513792,1.71269269680467e-37
GLIS2,-0.423609386051966,3.10249284021222e-23
GLS,-0.408111834382702,1.5718859135288e-21
GNA15,-0.402784205300555,5.78375433729459e-21
GNAI2,-0.546508101954659,2.34712077873232e-40
GNAQ,-0.437673712002869,7.35008298163531e-25
GNB3,-0.45713083346436,3.08137029748363e-27
GNB4,-0.515268796224525,2.52895675082622e-35
GOLIM4,-0.467630188597944,1.38300820626113e-28
GON4L,-0.438355375280926,6.10327035113983e-25
GOT1,0.447552903446015,4.76711404970788e-26
GPCPD1,-0.483026356140841,1.19648497974383e-30
GPM6B,-0.41017354247255,9.43461120471792e-22
GPR153,-0.461152588016778,9.50468504929302e-28
GPR161,-0.572122835612438,6.77505403563453e-45
GPR173,-0.455606368382295,4.79292925625475e-27
GPR176,-0.428602891844525,8.38132366672047e-24
GPSM1,-0.437378004401716,7.9662915276021e-25
GRAMD1A,-0.486342754345967,4.1655876394505e-31
GRASP,-0.476947395517455,8.0343328194012e-30
GRB7,-0.411978801085111,6.01637052116545e-22
GREB1L,-0.400825398264548,9.28287021177771e-21
GRHL3,-0.42775910051139,1.04719036848628e-23
GRID1,-0.419841618802527,8.21014208466683e-23
GRIN2D,-0.402777603356986,5.79301499907931e-21
GRIN3B,-0.404186224126257,4.11437116212532e-21
GRIP2,-0.438180599109075,6.40145713139312e-25
GRK2,-0.415829300238672,2.28347417311723e-22
GRM2,-0.513499616072926,4.70529640017964e-35
GRP,-0.415913773027774,2.23514000330559e-22
GSDMB,-0.403074040625101,5.39127026797576e-21
GSN,-0.459674445265626,1.46712319156229e-27
GTF2H4,-0.409512039842919,1.11179272609519e-21
GUCY1A1,-0.513838959789928,4.17819932959365e-35
GUCY1B1,-0.505111790506482,8.50585441248629e-34
HAPLN3,-0.48024420252987,2.87393001953524e-30
HAS2,-0.534555949487994,2.28121440198011e-38
HBEGF,-0.485655664878946,5.18828886580112e-31
HDAC6,-0.44806298821652,4.12906940359483e-26
HDAC7,-0.532673329210716,4.61377669412754e-38
HEG1,-0.423369571546035,3.3019493718306e-23
HEPH,-0.566300378220346,7.9031477278417e-44
HERC4,-0.405527371189143,2.96592940215891e-21
HEY2,-0.471009483585645,4.97692709245402e-29
HEYL,-0.651235252507739,8.769552647076e-62
HGF,-0.430643169452633,4.87903847587339e-24
HGSNAT,-0.482395213799807,1.46065307357411e-30
HHIPL1,-0.401458178784868,7.96993451366176e-21
HIC1,-0.542904771557726,9.50994565792572e-40
HMCN1,-0.539381783064337,3.67457942834151e-39
HMGA2,-0.455241729626584,5.32535471654663e-27
HMGXB3,-0.417797518331768,1.38490861331012e-22
HNMT,-0.423209724902751,3.44187236607894e-23
HNRNPDL,-0.43037459520131,5.24031365350693e-24
HNRNPH1,-0.437747758880321,7.20330310651322e-25
HOOK3,-0.506097207713598,6.07897032231414e-34
HOXA2,-0.510401459177627,1.38355030291545e-34
HOXA3,-0.514344578926791,3.4994607381038e-35
HOXB2,-0.491793858860212,7.170005524175e-32
HOXB3,-0.555289402951789,7.21868449448605e-42
HOXB4,-0.474450527163661,1.73730931165374e-29
HRH1,-0.469721304978366,7.35774028374153e-29
HSPA12B,-0.451492288853768,1.56159485228171e-26
HSPB6,-0.512451860109669,6.78476164977001e-35
HSPG2,-0.449452374238891,2.78830639665984e-26
HTR2B,-0.465877881474596,2.33908863020196e-28
HTRA1,-0.411937691313229,6.07851165946589e-22
HTRA3,-0.545733842325014,3.17484968335405e-40
HYAL2,-0.516313391257677,1.74979704514318e-35
ICAM1,-0.472522710616515,3.13756934296479e-29
ICAM5,-0.459167727665612,1.70170443066828e-27
IER3,-0.55685598585984,3.83669165949863e-42
IER5,-0.402731175916909,5.85855380097438e-21
IFFO1,-0.491461580253067,7.98902426186245e-32
IFI16,-0.497945857468418,9.47204559324956e-33
IFI44,-0.403881576778401,4.43100282991667e-21
IFITM1,-0.400400209215418,1.028260830861e-20
IFITM2,-0.489308952087581,1.60534060855635e-31
IFITM3,-0.415791022617258,2.30571427020278e-22
IFNAR2,-0.513975796759594,3.98259755647702e-35
IFNE,-0.419790428566032,8.3187138817585e-23
IFNGR1,-0.442081907594899,2.19272500189874e-25
IFNGR2,-0.421283197826118,5.66596948109353e-23
IFNLR1,-0.463873254298609,4.25126720471112e-28
IGF1R,-0.462006208803815,7.38998324819545e-28
IGF2,-0.510014916065426,1.58161092435147e-34
IGF2BP2,-0.432789218263362,2.75070872417841e-24
