,rowSums(tcga.mut.dat)
HNRNPUL2,2
HOOK1,2
HOOK3,2
HOXA1,1
HOXD12,1
HP1BP3,2
HPD,1
HPDL,1
HPGD,1
HPGDS,1
HPN,1
HPS1,1
HPS3,1
HPX,1
HRAS,17
HRCT1,1
HRH2,1
HS3ST2,1
HS3ST4,1
HSD17B10,1
HSD17B12,1
HSD17B3,1
HSD17B6,1
HSD3B7,1
HSH2D,1
HSP90AA1,2
HSP90AB1,2
HSPA12B,1
HSPA13,1
HSPA1L,1
HSPA4,3
HSPA5,1
HSPA8,1
HSPD1,2
HSPG2,1
HSPH1,1
HTATSF1,1
HTR3A,1
HTR3B,2
HTR3C,2
HTRA2,1
HUWE1,4
HYPK,2
IARS,1
IARS2,1
ICE1,1
ICK,1
ICMT,1
ID2,1
ID4,1
IDE,4
IDI1,1
IDO2,1
IDS,1
IFFO1,1
IFI16,1
IFI44L,1
IFIT1B,1
IFIT3,1
IFNA5,1
IFNAR2,1
IFNE,1
IFNG,1
IFNGR1,1
IFNL1,1
IFNL3,1
IFRD1,1
IFT46,1
IFT52,1
IGDCC4,1
IGF2R,1
IGFBP1,1
IGFBP5,1
IGFBP7,1
IGFN1,1
IGHE,1
IGHG3,1
IGHM,3
IGHV1-46,1
IGHV1OR21-1,1
IGHV3-35,1
IGHV3-53,1
IGHV3OR15-7,1
IGHV3OR16-8,1
IGKV1-27,1
IGKV2D-24,1
IGLV2-33,1
IGLV8-61,1
IGSF1,2
IGSF10,2
IGSF22,1
IGSF9B,3
IK,1
IKBKAP,2
IKZF3,1
IL11RA,1
IL12RB2,1
IL16,2
IL17RB,1
IL18R1,2
IL18RAP,1
IL1R1,1
IL1RAPL1,1
IL23R,1
IL2RG,1
IL37,1
IL7,1
IL7R,3
ILDR2,1
IMPDH2,2
IMPG1,2
INADL,2
INF2,1
ING1,1
ING5,1
INHBC,1
INPP1,1
INPP4B,2
INPP5D,1
INPP5F,1
INPP5K,1
INTS1,1
INTS10,1
INTS2,7
INTS9,1
INTU,2
IPMK,1
IPO11,1
IPO9,1
IQCB1,1
IQCG,1
IQGAP2,1
IQSEC2,3
IQUB,1
IRAK3,1
IREB2,1
IRF3,2
IRF5,2
IRS1,2
IRS2,2
IRS4,1
IRX2,1
ISM1,1
ITCH,1
ITGA1,1
ITGA10,2
ITGA2,1
ITGA3,1
ITGA6,1
ITGA7,1
ITGA8,1
ITGAD,1
ITGAL,3
ITGAM,0
ITGAV,1
ITGAX,1
ITGB1,2
ITGB2,1
ITGB3,2
ITGBL1,2
ITPA,1
ITPKB,1
ITPR1,1
ITPR2,3
ITSN2,1
IVNS1ABP,1
IYD,1
JAK1,1
JAK2,2
JAKMIP1,2
JAKMIP2,1
JMJD1C,6
JPH2,1
JRKL,2
JUN,1
KAL1,1
KALRN,1
KANK1,2
KANK2,2
KANK4,1
KANSL2,1
KANSL3,1
KAT2A,1
KAT5,1
KAT6A,2
KAT6B,2
KAT8,1
KBTBD12,1
KBTBD2,1
KBTBD3,1
KBTBD7,1
KBTBD8,2
KCNA1,1
KCNA4,1
KCNA5,1
KCNA7,1
KCNAB1,1
KCNC2,1
KCNC3,2
KCNC4,1
KCND3,2
KCNG1,1
KCNG3,1
KCNH1,1
KCNH4,1
KCNH5,1
KCNH7,1
KCNIP1,1
KCNIP2,1
KCNIP3,1
KCNIP4,1
KCNJ10,1
KCNJ16,3
KCNJ9,1
KCNK1,1
KCNK18,1
KCNK6,1
KCNMA1,2
KCNN3,1
KCNQ5,1
KCNS2,2
KCNU1,2
KCNV2,1
KCTD2,1
KCTD3,1
KCTD7,1
KCTD9,1
KDELR3,1
KDM2A,4
KDM2B,1
KDM3A,2
KDM3B,2
KDM4C,1
KDM5A,1
KDM5B,1
KDM6A,1
KDM8,1
KDR,1
KDSR,1
KEAP1,1
KEL,1
KERA,1
KHDRBS2,1
KHNYN,1
KIAA0020,1
KIAA0100,1
KIAA0195,1
KIAA0319L,1
KIAA0355,2
KIAA0513,1
KIAA0556,1
KIAA0825,1
KIAA0895,1
KIAA0895L,1
KIAA0922,2
KIAA0930,1
KIAA1109,7
KIAA1211,1
KIAA1217,1
KIAA1279,2
KIAA1429,2
KIAA1462,1
KIAA1467,1
KIAA1468,1
KIAA1522,1
KIAA1549,2
KIAA1549L,2
KIAA1551,2
KIAA1586,2
KIAA1755,1
KIAA1958,2
KIAA2018,3
KIAA2022,4
KIAA2026,4
KIF11,1
KIF14,1
KIF15,2
KIF19,1
KIF1A,1
KIF1B,2
KIF20B,2
KIF21A,1
KIF21B,1
KIF23,1
KIF25,1
KIF26B,1
KIF27,1
KIF4B,3
KIF6,1
KIR3DL1,1
KIRREL,1
KLF4,1
KLHDC2,1
KLHDC8B,1
KLHL13,1
KLHL14,1
KLHL2,1
KLHL22,1
KLHL24,1
KLHL26,1
KLHL35,1
KLHL36,1
KLHL4,1
KLHL40,1
KLHL41,1
KLHL5,2
KMT2A,9
KMT2C,5
KMT2D,2
KMT2E,3
KPNA1,2
KPNB1,3
KRAS,3
KRBA2,2
KRIT1,1
KRR1,1
KRT18,1
KRT20,1
KRT222,1
KRT33B,1
KRT35,1
KRT80,1
KRT85,2
KRT9,1
KRTAP10-1,1
KRTAP10-11,1
KRTAP10-12,1
KRTAP10-5,1
KRTAP21-2,2
KRTAP3-3,1
KRTAP4-12,1
KRTAP4-2,1
KRTAP4-6,1
KRTAP5-6,1
KRTAP6-2,1
KRTAP8-1,1
KRTAP9-3,1
KRTCAP3,1
KSR2,2
L3MBTL4,1
LAMA3,3
LAMA4,3
LAMA5,1
LAMB1,1
LAMB4,3
LAMC1,1
LAMC2,2
LAMC3,2
LAMP3,2
LAMP5,1
LARGE,1
LARP1,1
LARP1B,1
LARP4B,1
LARP7,1
LARS,1
LARS2,1
LATS1,1
LAX1,1
LAYN,1
LBP,1
LBR,1
LCA5,1
LCE1C,1
LCMT1,1
LCOR,1
LCT,1
LDHA,2
LDHAL6A,1
LDHC,1
LDLRAD3,1
LEMD1,1
LEMD2,1
LENG9,1
LEPR,1
LETM1,2
LETM2,1
LETMD1,1
LGALS13,1
LGI3,1
LGR5,1
LGSN,1
LHFPL5,1
LIG4,1
LILRB1,2
LIMA1,1
LIMD1,1
LIMS1,1
LIN54,1
LINC01098,1
LINGO1,2
LINGO2,2
LIPJ,1
LIPK,1
LIPT1,1
LLGL1,1
LMBR1L,1
LMBRD2,1
LMLN,1
LMO7,1
LMOD1,1
LMOD3,1
LNPEP,3
LNX1,1
LNX2,1
LONP1,1
LONRF2,1
LONRF3,2
LOR,1
LPAR6,2
LPCAT3,1
LPL,1
LPP,2
LRBA,1
LRFN3,2
LRFN4,1
LRFN5,1
LRGUK,2
LRP10,3
LRP11,1
LRP1B,5
LRP2,1
LRP6,1
LRPAP1,1
LRPPRC,4
LRRC14,1
LRRC17,1
LRRC19,3
LRRC28,1
LRRC3,1
LRRC32,1
LRRC37A2,1
LRRC37A3,2
LRRC40,2
LRRC42,1
LRRC46,1
LRRC49,2
LRRC4C,2
LRRC55,1
LRRC56,1
LRRC7,3
LRRC8A,2
LRRC8D,1
LRRCC1,2
LRRIQ1,1
LRRIQ3,2
LRRIQ4,1
LRRK2,6
LRRN4,1
LRRTM3,1
LRSAM1,1
LSAMP,2
LTBP1,3
LTBP2,1
LTBP3,1
LTF,1
LTV1,2
LUC7L3,2
LUM,1
LVRN,1
LY75,2
LY9,1
LYN,1
LYPLAL1,1
LYST,4
LYZ,1
LYZL6,1
LZTR1,1
MACC1,1
MACF1,9
MADD,2
MAGEA11,1
MAGEB10,1
MAGEB2,1
MAGEB3,1
MAGEB6,2
MAGED1,1
MAGEE2,1
MAGI1,1
MAGI2,1
MAGI3,2
MAMLD1,1
MAN2C1,1
MAP10,1
MAP1A,2
MAP1B,2
MAP1LC3B,1
MAP1LC3B2,1
MAP1S,1
MAP2,3
MAP2K1,1
MAP2K6,2
MAP3K1,1
MAP3K10,1
MAP3K15,2
MAP3K19,0
MAP3K3,4
MAP3K6,1
MAP3K8,2
MAP4K4,2
MAP7D2,2
MAPK10,1
MAPK4,1
MAPK6,2
MAPK8IP2,1
MAPKAPK3,1
MAPKBP1,2
MAPRE2,1
MARCH1,1
MARCH6,4
MARCH8,1
MARK3,1
MARS2,1
MAST2,1
MAST4,1
MAT1A,1
MATR3,1
MAU2,1
MBD1,1
MBIP,3
MBOAT2,1
MBTPS1,1
MCC,1
MCF2,2
MCHR1,1
MCM10,1
MCM3AP,1
MCM4,2
MCM8,1
MCMBP,2
MCOLN1,1
MCPH1,2
MCTP2,2
MDC1,1
MDM2,1
MDN1,4
ME1,1
MEA1,2
MECP2,1
MED1,3
MED11,1
MED12L,2
MED13,1
MED13L,1
MED14,1
MED15,1
MED16,1
MED23,1
MED31,1
MEF2C,1
MEFV,2
MEGF11,1
MEGF6,1
MEI1,1
MEN1,2
MEPCE,1
MESP1,1
METRNL,1
METTL2A,1
METTL2B,2
METTL8,1
MEX3A,1
MFN2,1
MFRP,1
MFSD1,1
MFSD4,1
MFSD6L,1
MFSD7,1
MFSD8,3
MGA,1
MGAM,1
MGAT4C,1
MGAT5B,2
MIA3,3
MIB1,1
MIB2,1
MICALCL,1
MICU3,1
MIS18BP1,1
MITF,1
MKI67,5
MKL1,1
MKLN1,2
MLIP,2
MLKL,1
MLLT1,1
MLLT4,2
MLYCD,1
MMD2,1
MMEL1,1
MMP12,1
MMP13,2
MMP17,1
MMP2,1
MMP21,2
MMP24,1
MMP27,1
MMP3,1
MMP7,1
MMRN1,3
MN1,1
MOB1A,1
MOB1B,1
MOB3B,1
MOB4,1
MOCS3,1
MOGAT1,1
MOGAT3,1
MON2,1
MORC1,1
MORC4,2
MORF4L2,1
MORN1,1
MORN5,1
MOSPD2,1
MOV10,2
MOV10L1,1
MPDZ,2
MPHOSPH10,1
MPHOSPH8,2
MPO,1
MPP4,1
MPPED1,1
MPZL3,1
MRAP2,1
MRC1,3
MRE11A,2
MROH2B,2
MROH6,1
MROH7,1
MRPL10,1
MRPL19,1
MRPL28,1
MRPL38,1
MRPL39,1
MRPL41,2
MRPL50,1
MRPS31,0
MRPS35,1
MRS2,2
MS4A2,1
MS4A4A,1
MSANTD2,2
MSANTD4,1
MSH2,3
MSH3,1
MSH5,1
MSI1,3
MSLNL,2
MSMB,1
MSR1,1
MSS51,1
MST1R,1
MTBP,1
MTCL1,1
MTDH,1
MTERF1,1
MTERF2,1
MTF1,1
MTF2,1
MTHFD1,1
MTHFR,1
MTHFS,1
MTIF3,1
MTMR11,1
MTMR12,3
MTMR6,2
MTMR8,1
MTOR,1
MTR,1
MTSS1L,1
MTX1,1
MUC16,14
MUC17,2
MUC20,1
MUC4,1
MUC5AC,1
MUC5B,4
MUC6,1
MUC7,2
MUSK,1
MUTYH,1
MX1,1
MX2,1
MXRA5,6
MYBL2,1
MYBPC1,1
MYBPC2,2
MYCBP2,2
MYCBPAP,2
MYH1,2
MYH10,1
MYH13,5
MYH15,2
MYH2,2
MYH3,1
MYH6,2
MYH7,1
MYH8,1
MYLK,3
MYLK4,1
MYNN,1
MYO10,2
MYO15A,2
MYO16,1
MYO18B,1
MYO19,2
MYO1C,1
MYO1D,1
MYO1E,1
MYO3A,2
MYO3B,2
MYO5A,1
MYO5C,2
MYO6,1
MYO7B,1
MYO9A,3
MYOF,1
MYOM1,1
MYOM2,3
MYOM3,1
MYOZ2,2
MYT1L,1
N4BP2,3
N4BP2L1,1
N4BP2L2,2
NAA15,1
NAA20,1
NAA25,1
NAA30,1
NAALADL1,1
NADSYN1,1
NAIP,1
NALCN,1
NANOS3,1
NANS,1
NAP1L1,1
NAPG,1
NAV3,5
NBEA,3
NBPF1,1
NBPF10,2
NBPF14,1
NBPF15,1
NBPF19,1
NBR1,1
NCAM2,3
NCAN,1
NCAPD3,2
NCAPG2,1
NCAPH2,1
NCK1,1
NCKAP1,2
NCKAP1L,2
NCKIPSD,1
NCOA3,1
NCOA7,2
NCOR1,1
NCOR2,1
NCR1,1
NDC80,1
NDFIP2,1
NDRG4,1
NDST2,1
NDUFA6,1
NDUFA7,1
NDUFA9,2
NDUFAF4,1
NDUFAF6,2
NDUFB5,1
NDUFB9,1
NDUFS1,1
NDUFS5,1
NDUFV2,1
NEB,2
NECAP1,1
NEDD4,1
NEIL3,1
NEK10,1
NEK8,2
NET1,1
NEXN,1
NFAT5,2
NFATC1,1
NFATC4,2
NFE2L3,2
NFIA,2
NFIX,1
NFKBID,1
NFRKB,1
NFS1,1
NFX1,1
NFXL1,1
NGF,1
NGFRAP1,1
NHLRC3,1
NHS,1
NHSL2,2
NID1,1
NID2,2
NIM1K,2
NIN,1
NIPA1,1
NIPA2,1
NIPAL1,1
NIPAL2,1
NIPAL3,1
NIPBL,5
NIPSNAP3A,1
NKD1,1
NKG7,1
NKIRAS1,1
NKX2-1,2
NLGN1,1
NLGN4Y,1
NLRC4,2
NLRP11,1
NLRP3,1
NLRP4,1
NLRP5,1
NLRP6,1
NLRP8,1
NME8,2
NNT,1
NOBOX,1
NOL8,2
NOL9,1
NOM1,1
NOMO1,1
NOMO3,1
NOP58,1
NOTCH1,1
NOTCH4,2
NOX5,1
NPAS2,1
NPAT,1
NPBWR2,1
NPC1L1,2
NPEPPS,1
NPFFR2,1
NPHP1,1
NPHP3,1
NPHP4,1
NPHS1,2
NPHS2,1
NPM3,1
NPNT,1
NPR1,2
NPR2,1
NPRL2,1
NPSR1,1
NPY5R,1
NQO2,1
NR3C2,1
NR4A2,1
NRAS,39
NRCAM,1
NRIP1,1
NRP1,1
NRXN1,1
NRXN2,1
NRXN3,1
NSD1,3
NSMAF,1
NSMCE2,1
NSRP1,1
NSUN3,1
NSUN6,1
NTNG2,1
NTRK3,1
NTSR2,1
NUDCD1,1
NUDT12,1
NUDT15,1
NUDT17,1
NUDT8,1
NUDT9,1
NUF2,4
NUFIP1,1
NUMA1,1
NUP133,2
NUP155,1
NUP210L,2
NUP214,2
NUP88,1
NUP93,4
NUP98,1
NUPL1,1
NWD1,3
NXF3,1
NXF5,1
OAS3,1
OAZ1,1
OBSCN,4
OCLN,1
OCRL,1
ODF2L,1
OFD1,1
OGDHL,1
OGFOD1,1
OGFOD2,1
OGT,3
OLFM1,1
OLFML1,1
OPLAH,1
OPN1SW,1
OPN4,1
OPRL1,1
OR10AG1,2
OR10G4,1
OR10H2,1
OR10X1,1
OR10Z1,1
OR11G2,1
OR11H12,1
OR11H6,1
OR12D3,1
OR13C8,1
OR13F1,2
OR14C36,1
OR1E1,1
OR1J2,1
OR1L8,1
OR1N2,1
OR1S2,2
OR2AK2,1
OR2AT4,1
OR2B2,1
OR2B3,1
OR2C1,1
OR2G6,1
OR2H2,1
OR2J2,2
OR2K2,1
OR2L13,1
OR2L3,1
OR2M3,2
OR2M5,1
OR2T27,1
OR2T33,1
OR2T34,1
OR2T4,1
OR3A3,1
OR4A47,1
OR4A5,1
OR4C11,1
OR4C3,1
OR4C6,1
OR4D10,1
OR4D5,2
OR4D9,1
OR4F4,1
OR4K2,1
OR4K5,2
OR4L1,1
OR4M1,2
OR4N2,1
OR4N5,2
OR4P4,1
OR4X1,2
OR51E2,1
OR51F1,3
OR51G1,1
OR51I1,1
OR51M1,0
OR51V1,1
OR52A1,3
OR52A5,1
OR52E2,2
OR52N4,1
OR56A1,1
OR5AK2,1
OR5AR1,1
OR5AS1,1
OR5B17,1
OR5B2,1
OR5B3,1
OR5D13,2
OR5D18,1
OR5F1,1
OR5H14,1
OR5I1,1
OR5K1,1
OR5L1,2
OR5M1,1
OR5M3,3
OR5T2,3
OR5V1,1
OR6A2,1
OR6C3,1
OR6C70,1
OR6C75,1
OR6K2,1
OR6S1,1
OR7A17,1
OR7A5,1
OR8B12,1
OR8B3,1
OR8B4,1
OR8D1,1
OR8H2,2
OR8K5,1
OR9I1,1
ORC1,1
ORC2,1
ORC3,1
OSBP,2
OSBPL7,1
OSBPL9,1
OSGIN2,1
OSMR,1
OSTC,1
OTOA,1
OTUD5,1
OTUD6A,1
OTUD7A,1
OTX1,1
OTX2,1
OVGP1,1
OXGR1,1
OXR1,1
P3H2,1
P4HB,1
PABPC1,1
PABPC3,1
PACRGL,1
PACSIN3,1
PADI1,1
PADI6,1
PAK7,2
PALM2-AKAP2,3
PALMD,2
PAPSS1,2
PARD3,1
PARD6B,1
PARP10,1
PARP14,1
PARP4,1
PARP9,2
PARPBP,1
PATE2,1
PAWR,1
PAXBP1,1
PAXIP1,1
PC,3
PCBP1,1
PCDH1,1
PCDH11X,3
PCDH11Y,1
PCDH15,3
PCDH17,1
PCDH18,1
PCDH19,1
PCDH20,1
PCDH8,1
PCDHA1,1
PCDHA10,1
PCDHA5,1
PCDHA6,1
PCDHA8,2
PCDHAC1,1
PCDHB1,1
PCDHB10,2
PCDHB11,1
PCDHB6,1
PCDHB8,1
PCDHGA1,1
PCDHGA11,1
PCDHGA12,1
PCDHGA2,1
PCDHGA4,1
PCDHGA5,1
PCDHGA9,1
PCDHGB3,1
PCDHGB4,1
PCDHGC4,1
PCGF2,2
PCID2,1
PCLO,1
PCM1,2
PCNX,1
PCNXL2,2
PCNXL4,2
PCSK1,3
PCSK5,1
PCSK6,1
PCSK7,1
PCYOX1L,1
PDCD1,1
PDCD10,1
PDCD1LG2,1
PDCD4,1
PDE1A,2
PDE1C,1
PDE3A,1
PDE3B,1
PDE4B,1
PDE4DIP,2
PDE5A,1
PDGFRB,1
PDHA2,1
PDHX,1
PDIA3,1
PDIA5,1
PDK3,1
PDPR,1
PDS5A,2
PDS5B,1
PDSS1,2
PDZD2,4
PDZD3,1
PDZD8,1
PDZK1,1
PDZRN4,3
PEAK1,2
PECR,1
PEG3,2
PELI1,1
PELI3,1
PELO,2
PELP1,1
PENK,1
PEX10,1
PEX5,1
PEX7,1
PFKFB4,1
PFKP,1
PGAP1,4
PGBD2,1
PGBD5,1
PGLYRP3,1
PGM2,1
PGM5,1
PHACTR2,2
PHAX,1
PHF14,1
PHF20,1
PHF20L1,1
PHF21A,1
PHF23,1
PHF3,3
PHF6,1
PHF8,1
PHIP,3
PHKA2,3
PHKB,2
PHLDB2,1
PHOX2A,1
PHTF2,1
PI4K2B,1
PI4KA,1
PI4KB,1
PIAS3,1
PIBF1,2
PIDD1,1
PIEZO2,2
PIGC,1
PIGM,1
PIGO,1
PIGZ,1
PIH1D2,2
PIK3C2A,2
PIK3C2G,2
PIK3C3,1
PIK3CA,2
PIK3CB,1
PIK3CD,1
PIK3CG,3
PIK3R1,2
PIK3R3,1
PIK3R5,4
PIKFYVE,2
PINK1,1
PIP4K2C,1
PIR,1
PITPNA,1
PITPNM1,1
PITPNM2,1
PITPNM3,3
PITX2,2
PIWIL3,1
pk,1
PKD1L1,2
PKD2L2,1
PKDREJ,2
PKHD1,5
PKHD1L1,2
PKLR,1
PKM,1
PKN2,1
PKP4,2
PLA1A,1
PLA2G2A,1
PLA2G2D,1
PLA2G3,1
PLA2G4A,1
PLA2G4D,1
PLA2G4E,2
PLA2G5,1
PLA2G6,1
PLA2R1,2
PLAG1,1
PLCB1,1
PLCB3,2
PLCB4,1
PLCD1,1
PLCE1,4
PLCG1,1
PLCH1,2
PLCL1,2
PLD3,1
PLEC,4
PLEKHA3,1
PLEKHA4,1
PLEKHA5,2
PLEKHF2,1
PLEKHG1,2
PLEKHG4B,2
PLEKHM2,1
PLIN5,1
PLK2,2
PLK4,1
PLOD2,1
PLSCR2,1
PLSCR4,1
PLTP,1
PLXDC2,1
PLXNA3,1
PLXNB1,1
PLXNB2,1
PLXNB3,1
PLXNC1,2
PLXND1,1
PMCH,1
PMP2,1
PMPCB,1
PMS1,1
PNLDC1,1
PNMA5,1
PNMAL2,1
PNN,1
PNOC,1
POFUT2,1
POGLUT1,1
POGZ,1
POLA1,1
POLB,1
POLD3,1
POLE2,1
POLL,1
POLN,1
POLQ,3
POLR1A,1
POLR1B,4
POLR2A,2
POLR2B,3
POLR3B,1
POLR3GL,1
POM121L12,2
POR,1
POTEC,2
POU1F1,1
POU2F2,1
POU2F3,1
POU4F3,1
PPAN-P2RY11,2
PPARA,1
PPARGC1A,2
PPAT,1
PPEF1,2
PPFIA4,1
PPFIBP1,1
PPID,1
PPIG,1
PPIL3,1
PPL,2
PPM1B,2
PPM1D,5
PPP1R12B,1
PPP1R13B,1
PPP1R13L,2
PPP1R15A,1
PPP1R21,1
PPP1R26,1
PPP1R3A,3
PPP1R3B,1
PPP1R7,1
PPP1R9A,2
PPP1R9B,1
PPP2R1A,2
PPP2R2B,1
PPP2R3A,1
PPP2R5A,1
PPP2R5D,1
PPP3CC,1
PPP3R2,1
PPP4R2,2
PPP4R4,1
PPP6C,1
PPP6R3,2
PPRC1,1
PPT1,1
PPT2,1
PRAMEF5,1
PRC1,2
PRCP,1
PRDM1,1
PRDM14,1
PRDM15,1
PRDM16,3
PRDM4,1
PRDM8,2
PRDM9,2
PRDX1,1
PRDX6,1
PREP,1
PREX2,1
PRICKLE1,1
PRKAR2A,1
PRKCA,1
PRKCSH,1
PRKD1,3
PRKDC,3
PRKG1,1
PRKG2,1
PRODH2,1
PROKR2,1
PROS1,2
PROSER1,1
PROSER3,1
PRPF18,1
PRPF38B,4
PRPF39,2
PRPF6,2
PRPF8,3
PRPS1,1
PRR27,1
PRRC2A,4
PRRC2C,1
PRRG1,1
PRRT3,1
PRSS38,1
PRSS45,1
PRSS48,1
PRSS53,1
PRSS57,2
PRUNE,1
PRUNE2,1
PSG2,1
PSG5,1
PSG7,1
PSG8,2
PSG9,1
PSMA2,1
PSMA4,1
PSMA6,1
PSMB1,1
PSMB6,1
PSMC4,1
PSMC5,1
PSMD1,1
PSMD11,1
PSMD8,2
PSME2,1
PSME4,1
PSMG1,1
PSPN,1
PTAR1,1
PTBP2,1
PTCD1,1
PTCD2,2
PTCH1,1
PTCHD2,2
PTCHD3,1
PTCHD4,1
PTEN,2
PTGDS,1
PTGER3,2
PTGR2,1
PTH2R,1
PTK2,1
PTK2B,3
PTN,1
PTPDC1,1
PTPN13,2
PTPN14,1
PTPN21,1
PTPN22,2
PTPN4,1
PTPRA,1
PTPRB,1
PTPRD,3
PTPRG,1
PTPRJ,1
PTPRK,1
PTPRO,2
PTPRR,2
PTPRS,2
PTPRT,1
PTPRZ1,5
PTTG2,1
PUM1,1
PUM2,2
PURA,2
PUS3,1
PVRL3,1
PVRL4,1
PXDNL,1
PXMP2,1
PYGO1,3
PZP,3
QPRT,1
QSER1,1
R3HCC1L,2
R3HDM2,1
RAB11FIP1,1
RAB11FIP2,1
RAB27A,2
RAB32,1
RAB33A,1
RAB33B,1
RAB37,1
RAB3C,1
RAB3GAP1,2
RAB3IP,1
RAB5C,1
RAB6B,1
RAB6C,1
RABEP1,1
RABEP2,0
RABGAP1,2
RABGAP1L,1
RACGAP1,2
RAD23B,1
RAD50,1
RAD51AP1,1
RAD51AP2,1
RAD54B,1
RAD54L2,1
RAF1,1
RAI1,2
RAI14,2
RALBP1,1
RALGAPA1,1
RALGAPA2,1
RALGAPB,2
RALGPS2,1
RANBP10,1
RANBP2,3
RANBP3L,1
RAP1A,1
RAP1GAP,1
RAP1GDS1,1
RAPGEF1,2
RAPGEF3,1
RAPGEF6,5
RAPGEFL1,1
RAPH1,1
RARA,1
RARS,2
RARS2,1
RASA1,2
RASEF,1
RASGRF2,2
RASGRP1,1
RASSF1,1
RASSF8,1
RB1,2
RB1CC1,1
RBBP4,1
RBBP6,6
RBBP8,1
RBBP8NL,1
RBFA,2
RBFOX2,1
RBL1,1
RBL2,1
RBM10,1
RBM12,1
RBM12B,2
RBM15,1
RBM15B,1
RBM17,2
RBM22,1
RBM25,1
RBM28,1
RBM46,1
RBM4B,1
RBM5,2
RBM6,2
RBM7,1
RBMS1,1
RBMY1A1,1
RBP3,1
RBPJL,1
RBPMS,1
RBSN,1
RC3H2,1
RCAN1,1
RCC1,1
RCOR2,1
RCVRN,1
RDH14,1
RECK,2
REG3A,1
REL,1
RELN,3
RENBP,1
REP15,1
REPS2,1
RERE,1
RERGL,1
REST,2
RET,2
RETN,1
REV1,1
REV3L,3
REXO2,1
RFK,1
RFPL1,2
RFPL2,1
RFWD3,1
RFX3,1
RFX5,1
RFXAP,1
RGL2,1
RGN,1
RGP1,1
RGPD4,3
RGPD8,1
RGR,1
RGS12,1
RGS21,1
RGS22,2
RHBDF1,1
RHOQ,2
RHOT1,1
RHOT2,1
RIC1,2
RICTOR,2
RIF1,1
RIMBP2,1
RIMS1,2
RIMS2,3
RIMS3,1
RINT1,1
RIOK1,2
RIOK2,2
RIT2,1
RLF,2
RLIM,1
RLN1,1
RMDN2,1
RMI1,1
RNF10,1
RNF111,1
RNF113A,2
RNF128,2
RNF13,1
RNF139,1
RNF146,1
RNF148,1
RNF17,1
RNF170,1
RNF19B,2
RNF216,2
RNF34,1
RNF39,1
RNF7,1
RNMT,1
RNPEPL1,1
ROBO2,1
ROCK1,1
ROM1,1
ROPN1,1
ROPN1B,1
RORB,1
ROS1,3
RP1,5
RP11-240B13.2,1
RP11-407N17.3,4
RPAIN,1
RPE,1
RPGR,1
RPGRIP1,1
RPGRIP1L,1
RPL10A,1
RPL12,1
RPL13A,1
RPL18A,1
RPL22,1
RPL22L1,1
RPL36AL,1
RPL4,1
RPL9,1
RPRD1A,4
RPRD1B,1
RPS2,1
RPS4X,1
RPS6KA4,1
RPS6KB2,1
RPTN,1
RPTOR,1
RPUSD1,1
RRAGD,1
RRN3,1
RRP1,1
RRP12,1
RRP8,1
RRP9,1
RSBN1,1
RSBN1L,1
RSF1,2
RSPH3,1
RSPH4A,2
RSPH6A,2
RSRC2,1
RSU1,1
RTF1,2
RTKN,1
RTN3,1
RTN4,2
RTN4RL1,1
RTN4RL2,1
RTP1,1
RTTN,3
RUFY2,1
RUFY3,1
RUNDC1,1
RUNX1T1,1
RUNX2,1
RUSC1,1
RWDD1,3
RXFP1,1
RXFP2,1
RYK,2
RYR1,5
RYR2,3
RYR3,1
S100A7,1
S100PBP,1
S1PR1,1
S1PR5,1
SAAL1,1
SACM1L,1
SACS,4
SALL2,3
SAMD15,2
SAMD3,1
SAMD9,1
SAMD9L,2
SAMSN1,1
SAP130,1
SARAF,1
SARDH,1
SASH3,1
SAXO2,1
SBF1,2
SBF2,1
SBNO1,2
SCAF1,2
SCAF11,1
SCAF4,3
SCAF8,1
SCAI,1
SCAPER,1
SCARB2,1
SCEL,1
SCIN,1
SCML2,1
SCN10A,2
SCN11A,1
SCN1A,2
SCN2A,2
SCN3A,3
SCN5A,1
SCN7A,1
SCN8A,1
SCN9A,3
SCPEP1,1
SDAD1,1
SDC1,1
SDC2,1
SDC3,1
SDC4,1
SDCBP2,1
SDCCAG8,1
SDHAF2,1
SDK2,1
SDPR,1
SDS,1
SEC16A,3
SEC23A,1
SEC24B,1
SEC24D,1
SEC62,2
SECISBP2,1
SECISBP2L,1
SEL1L2,1
SEL1L3,1
SELENBP1,1
SEMA3A,1
SEMA3B,1
SEMA4B,1
SEMA6B,1
SEMA7A,1
SEMG1,1
SEMG2,4
SENP1,1
SENP2,2
SENP5,1
SENP6,2
SEPSECS,1
SEPT10,1
SEPT5,1
SEPT6,1
SEPT9,1
SERPINA1,1
SERPINB11,1
SERPINB3,1
SERPINB4,2
SERPINC1,1
SERPINE3,1
SERPING1,1
SERPINH1,1
SERTAD3,1
SESN3,1
SESTD1,1
SETBP1,2
SETD1A,1
SETD2,2
SETD5,3
SETDB1,1
SETX,1
SEZ6L,2
SF3A1,1
SF3B1,2
SGCB,1
SGCE,1
SGK223,1
SGTB,1
SH2D2A,1
SH2D3C,1
SH2D4A,1
SH2D6,1
SH3BP4,1
SH3D19,2
SH3GL2,1
SH3GL3,1
SH3GLB2,1
SH3KBP1,1
SH3PXD2A,2
