"","Freq","Genes"
"FRAS1",3,"FRAS1"
"GAPVD1",3,"GAPVD1"
"GCC2",3,"GCC2"
"GCN1L1",3,"GCN1L1"
"GNPAT",3,"GNPAT"
"GPRIN2",3,"GPRIN2"
"GRM6",3,"GRM6"
"GTPBP4",3,"GTPBP4"
"HBS1L",3,"HBS1L"
"HECTD1",3,"HECTD1"
"HMMR",3,"HMMR"
"HSPA4",3,"HSPA4"
"IGHM",3,"IGHM"
"IGSF9B",3,"IGSF9B"
"IL7R",3,"IL7R"
"IQSEC2",3,"IQSEC2"
"ITGAL",3,"ITGAL"
"ITPR2",3,"ITPR2"
"KCNJ16",3,"KCNJ16"
"KIAA2018",3,"KIAA2018"
"KIF4B",3,"KIF4B"
"KMT2E",3,"KMT2E"
"KPNB1",3,"KPNB1"
"KRAS",3,"KRAS"
"LAMA3",3,"LAMA3"
"LAMA4",3,"LAMA4"
"LAMB4",3,"LAMB4"
"LNPEP",3,"LNPEP"
"LRP10",3,"LRP10"
"LRRC19",3,"LRRC19"
"LRRC7",3,"LRRC7"
"LTBP1",3,"LTBP1"
"MAP2",3,"MAP2"
"MBIP",3,"MBIP"
"MED1",3,"MED1"
"MFSD8",3,"MFSD8"
"MIA3",3,"MIA3"
"MMRN1",3,"MMRN1"
"MRC1",3,"MRC1"
"MSH2",3,"MSH2"
"MSI1",3,"MSI1"
"MTMR12",3,"MTMR12"
"MYLK",3,"MYLK"
"MYO9A",3,"MYO9A"
"MYOM2",3,"MYOM2"
"N4BP2",3,"N4BP2"
"NBEA",3,"NBEA"
"NCAM2",3,"NCAM2"
"NSD1",3,"NSD1"
"NWD1",3,"NWD1"
"OGT",3,"OGT"
"OR51F1",3,"OR51F1"
"OR52A1",3,"OR52A1"
"OR5M3",3,"OR5M3"
"OR5T2",3,"OR5T2"
"PALM2-AKAP2",3,"PALM2-AKAP2"
"PC",3,"PC"
"PCDH11X",3,"PCDH11X"
"PCDH15",3,"PCDH15"
"PCSK1",3,"PCSK1"
"PDZRN4",3,"PDZRN4"
"PHF3",3,"PHF3"
"PHIP",3,"PHIP"
"PHKA2",3,"PHKA2"
"PIK3CG",3,"PIK3CG"
"PITPNM3",3,"PITPNM3"
"POLQ",3,"POLQ"
"POLR2B",3,"POLR2B"
"PPP1R3A",3,"PPP1R3A"
"PRDM16",3,"PRDM16"
"PRKD1",3,"PRKD1"
"PRKDC",3,"PRKDC"
"PRPF8",3,"PRPF8"
"PTK2B",3,"PTK2B"
"PTPRD",3,"PTPRD"
"PYGO1",3,"PYGO1"
"PZP",3,"PZP"
"RANBP2",3,"RANBP2"
"RELN",3,"RELN"
"REV3L",3,"REV3L"
"RGPD4",3,"RGPD4"
"RIMS2",3,"RIMS2"
"ROS1",3,"ROS1"
"RTTN",3,"RTTN"
"RWDD1",3,"RWDD1"
"RYR2",3,"RYR2"
"SALL2",3,"SALL2"
"SCAF4",3,"SCAF4"
"SCN3A",3,"SCN3A"
"SCN9A",3,"SCN9A"
"SEC16A",3,"SEC16A"
"SETD5",3,"SETD5"
"SI",3,"SI"
"SIPA1L1",3,"SIPA1L1"
"SLC12A6",3,"SLC12A6"
"SLC34A2",3,"SLC34A2"
"SLC38A9",3,"SLC38A9"
"SMCHD1",3,"SMCHD1"
"SPAG9",3,"SPAG9"
"SPATA31A6",3,"SPATA31A6"
"SPECC1",3,"SPECC1"
"SPTBN4",3,"SPTBN4"
"STAB2",3,"STAB2"
"STAU2",3,"STAU2"
"STT3A",3,"STT3A"
"SUOX",3,"SUOX"
"SVIL",3,"SVIL"
"SYNE2",3,"SYNE2"
"TCF7L1",3,"TCF7L1"
"TDRD7",3,"TDRD7"
"TENM4",3,"TENM4"
"TEX14",3,"TEX14"
"TEX15",3,"TEX15"
"THOC2",3,"THOC2"
"TJP1",3,"TJP1"
"TMEM132D",3,"TMEM132D"
"TMPRSS15",3,"TMPRSS15"
"TUT1",3,"TUT1"
"U2SURP",3,"U2SURP"
"UBP1",3,"UBP1"
"UGGT2",3,"UGGT2"
"USP33",3,"USP33"
"USP47",3,"USP47"
"USP54",3,"USP54"
"UTP20",3,"UTP20"
"UTP3",3,"UTP3"
"VPS13B",3,"VPS13B"
"VPS13D",3,"VPS13D"
"WDFY3",3,"WDFY3"
"WDR11",3,"WDR11"
"WDR33",3,"WDR33"
"WDR6",3,"WDR6"
"WHSC1L1",3,"WHSC1L1"
"WNK2",3,"WNK2"
"XRCC5",3,"XRCC5"
"YLPM1",3,"YLPM1"
"YTHDC1",3,"YTHDC1"
"ZC3H13",3,"ZC3H13"
"ZNF257",3,"ZNF257"
"ZNF407",3,"ZNF407"
"ZNF461",3,"ZNF461"
"ZNF583",3,"ZNF583"
"ZNF724P",3,"ZNF724P"
"ZNF777",3,"ZNF777"
"ZNF804A",3,"ZNF804A"
"ZNF85",3,"ZNF85"
"AASDH",2,"AASDH"
"ABCA5",2,"ABCA5"
"ABCA9",2,"ABCA9"
"ABCB5",2,"ABCB5"
"ABCC2",2,"ABCC2"
"ABCC9",2,"ABCC9"
"ABCG8",2,"ABCG8"
"ABHD16A",2,"ABHD16A"
"ABHD4",2,"ABHD4"
"ACAD10",2,"ACAD10"
"ADAMTS16",2,"ADAMTS16"
"ADAMTS18",2,"ADAMTS18"
"ADAMTSL3",2,"ADAMTSL3"
"ADGRA2",2,"ADGRA2"
"ADGRL2",2,"ADGRL2"
"ADH7",2,"ADH7"
"ADO",2,"ADO"
"AFF2",2,"AFF2"
"AGFG1",2,"AGFG1"
"AHNAK2",2,"AHNAK2"
"AJAP1",2,"AJAP1"
"AK7",2,"AK7"
"AKAP11",2,"AKAP11"
"AKAP12",2,"AKAP12"
"AKT2",2,"AKT2"
"ALDH2",2,"ALDH2"
"ALG13",2,"ALG13"
"ALOX12B",2,"ALOX12B"
"ALPK3",2,"ALPK3"
"AMDHD1",2,"AMDHD1"
"AMPD2",2,"AMPD2"
"ANGPT2",2,"ANGPT2"
"ANK2",2,"ANK2"
"ANKAR",2,"ANKAR"
"ANKLE1",2,"ANKLE1"
"ANKMY1",2,"ANKMY1"
"ANKRD17",2,"ANKRD17"
"ANKRD35",2,"ANKRD35"
"ANKS1A",2,"ANKS1A"
"ANXA7",2,"ANXA7"
"AP5B1",2,"AP5B1"
"APBB1",2,"APBB1"
"APOBR",2,"APOBR"
"ARCN1",2,"ARCN1"
"ARFIP2",2,"ARFIP2"
"ARHGAP18",2,"ARHGAP18"
"ARHGAP29",2,"ARHGAP29"
"ARHGEF40",2,"ARHGEF40"
"ARID4A",2,"ARID4A"
"ARMC3",2,"ARMC3"
"ARRDC3",2,"ARRDC3"
"ARSI",2,"ARSI"
"ARSJ",2,"ARSJ"
"ASAP1",2,"ASAP1"
"ASB12",2,"ASB12"
"ASPM",2,"ASPM"
"ATN1",2,"ATN1"
"ATP10D",2,"ATP10D"
"ATP11B",2,"ATP11B"
"ATP11C",2,"ATP11C"
"ATP12A",2,"ATP12A"
"ATP13A5",2,"ATP13A5"
"ATP1A2",2,"ATP1A2"
"ATP2B4",2,"ATP2B4"
"ATP4A",2,"ATP4A"
"ATXN2L",2,"ATXN2L"
"B3GNT5",2,"B3GNT5"
"BAD",2,"BAD"
